Sample ID,Tillage,Fertilizer,Block,Sub-rep
1,NP,NP,1,1
2,NP,NP,2,1
3,NP,NP,3,1
4,NP,NP,4,1
5,NP,NP,5,1
6,NP,NP,6,1
7,NT,HM,1,1
8,NT,HM,1,2
9,NT,HM,1,3
10,NT,HM,2,1
11,NT,HM,2,2
12,NT,HM,2,3
13,NT,HM,3,1
14,NT,HM,3,2
15,NT,HM,3,3
16,NT,HM,4,1
17,NT,HM,4,2
18,NT,HM,4,3
19,NT,HF,1,1
20,NT,HF,1,2
21,NT,HF,1,3
22,NT,HF,2,1
23,NT,HF,2,2
24,NT,HF,2,3
25,NT,HF,3,1
26,NT,HF,3,2
27,NT,HF,3,3
28,NT,HF,4,1
29,NT,HF,4,2
30,NT,HF,4,3
31,T,HM,1,1
32,T,HM,1,2
33,T,HM,1,3
34,T,HM,2,1
35,T,HM,2,2
36,T,HM,2,3
37,T,HM,3,1
38,T,HM,3,2
39,T,HM,3,3
40,T,HM,4,1
41,T,HM,4,2
42,T,HM,4,3
43,T,HF,1,1
44,T,HF,1,2
45,T,HF,1,3
46,T,HF,2,1
47,T,HF,2,2
48,T,HF,2,3
49,T,HF,3,1
50,T,HF,3,2
51,T,HF,3,3
52,T,HF,4,1
53,T,HF,4,2
54,T,HF,4,3